geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13015960200,13015,13015960200,"Census Tract 9602, Bartow County, Georgia",2014,11791,173,0,0.103
1400000US13015960200,13015,13015960200,"Census Tract 9602, Bartow County, Georgia",2016,11342,167,2,0.11
1400000US13015960200,13015,13015960200,"Census Tract 9602, Bartow County, Georgia",2018,11388,167,2,0.07
1400000US13015960201,13015,13015960201,"Census Tract 9602.01, Bartow County, Georgia",2020,3104,104,2,0.101
1400000US13015960202,13015,13015960202,"Census Tract 9602.02, Bartow County, Georgia",2020,3869,965,0,0.109
1400000US13015960203,13015,13015960203,"Census Tract 9602.03, Bartow County, Georgia",2020,4145,121,0,0.03
1400000US13015960300,13015,13015960300,"Census Tract 9603, Bartow County, Georgia",2012,7803,127,0,0.026
1400000US13015960300,13015,13015960300,"Census Tract 9603, Bartow County, Georgia",2014,6926,113,0,0.056
1400000US13015960300,13015,13015960300,"Census Tract 9603, Bartow County, Georgia",2016,6714,109,2,0.049
1400000US13015960300,13015,13015960300,"Census Tract 9603, Bartow County, Georgia",2018,6393,104,2,0.048
1400000US13015960301,13015,13015960301,"Census Tract 9603.01, Bartow County, Georgia",2020,3558,107,0,0.022
1400000US13015960302,13015,13015960302,"Census Tract 9603.02, Bartow County, Georgia",2020,3139,113,2,0.066
1400000US13015960401,13015,13015960401,"Census Tract 9604.01, Bartow County, Georgia",2012,8528,1244,0,0.164
1400000US13015960401,13015,13015960401,"Census Tract 9604.01, Bartow County, Georgia",2014,9098,1328,0,0.162
1400000US13015960401,13015,13015960401,"Census Tract 9604.01, Bartow County, Georgia",2016,10043,1466,0,0.182
1400000US13015960401,13015,13015960401,"Census Tract 9604.01, Bartow County, Georgia",2018,10034,1464,0,0.216
1400000US13015960402,13015,13015960402,"Census Tract 9604.02, Bartow County, Georgia",2012,9102,458,0,0.124
