pollid,pollname,x,y,changeyear,baseyear,changestatus,state
71dacabe-09c1-49eb-991b-9ec68873fdc5,MILL CREEK COMMUNITY CENTER,-89.411,31.247,2016 - 2018,2018,no_change,MS
71dacabe-09c1-49eb-991b-9ec68873fdc5,MILL CREEK COMMUNITY CENTER,-89.411,31.247,2018 - 2022,2022,no_change,MS
71de39bb-5074-40a1-805d-12aa1968dc40,PRAIRIE POINT FIRE STATION,-88.405,33.148,2014 - 2016,2016,added,MS
71de39bb-5074-40a1-805d-12aa1968dc40,PRAIRIE POINT FIRE STATION,-88.405,33.148,2016 - 2018,2018,no_change,MS
71de39bb-5074-40a1-805d-12aa1968dc40,PRAIRIE POINT FIRE STATION,-88.405,33.148,2018 - 2022,2022,no_change,MS
71e1d77c-fb8d-4996-9602-a6cc600969a2,FIRE STATION,-89.41,31.707,2012 - 2014,2014,no_change,MS
71e1d77c-fb8d-4996-9602-a6cc600969a2,FIRE STATION,-89.41,31.707,2014 - 2016,2016,no_change,MS
71e1d77c-fb8d-4996-9602-a6cc600969a2,FIRE STATION,-89.41,31.707,2016 - 2018,2018,no_change,MS
71e1d77c-fb8d-4996-9602-a6cc600969a2,FIRE STATION,-89.41,31.707,2018 - 2022,2022,no_change,MS
7256b5e6-8f5c-4cc9-893a-c90f50f11557,CITY COURT BUILDING,-89.24,30.319,2014 - 2016,2016,added,MS
7256b5e6-8f5c-4cc9-893a-c90f50f11557,CITY COURT BUILDING,-89.24,30.319,2016 - 2018,2018,removed,MS
7286900d-30ac-43d3-9871-354ffb03da1d,ST JAMES BAPTIST CHURCH,-90.208,32.291,2012 - 2014,2014,no_change,MS
7286900d-30ac-43d3-9871-354ffb03da1d,ST JAMES BAPTIST CHURCH,-90.208,32.291,2014 - 2016,2016,no_change,MS
7286900d-30ac-43d3-9871-354ffb03da1d,ST JAMES BAPTIST CHURCH,-90.208,32.291,2016 - 2018,2018,no_change,MS
7286900d-30ac-43d3-9871-354ffb03da1d,ST JAMES BAPTIST CHURCH,-90.208,32.291,2018 - 2022,2022,no_change,MS
72913d09-ac9a-4749-9ed8-76903d705369,CHINA GROVE BAPTIST CHURCH,-90.178,32.368,2018 - 2022,2022,added,MS
72ac63af-e875-4f5d-97a4-41ed1df5a79f,THAMES,-89.337,31.313,2012 - 2014,2014,no_change,MS
72ac63af-e875-4f5d-97a4-41ed1df5a79f,THAMES,-89.337,31.313,2014 - 2016,2016,removed,MS
72ac63af-e875-4f5d-97a4-41ed1df5a79f,THAMES,-89.337,31.313,2016 - 2018,2018,added,MS
72ac63af-e875-4f5d-97a4-41ed1df5a79f,THAMES,-89.337,31.313,2018 - 2022,2022,removed,MS
72bd19d2-232e-41ad-830b-59902d373e9f,HUNT SCHOOL CAFETORIUM,-88.411,33.506,2012 - 2014,2014,no_change,MS
72bd19d2-232e-41ad-830b-59902d373e9f,HUNT SCHOOL CAFETORIUM,-88.411,33.506,2014 - 2016,2016,no_change,MS
72bd19d2-232e-41ad-830b-59902d373e9f,HUNT SCHOOL CAFETORIUM,-88.411,33.506,2016 - 2018,2018,no_change,MS
72bd19d2-232e-41ad-830b-59902d373e9f,HUNT SCHOOL CAFETORIUM,-88.411,33.506,2018 - 2022,2022,removed,MS
73295505-145d-42c8-bc85-e22277af8a86,LUDLOW FIRE DEPARTMENT,-89.712,32.569,2012 - 2014,2014,no_change,MS
73295505-145d-42c8-bc85-e22277af8a86,LUDLOW FIRE DEPARTMENT,-89.712,32.569,2014 - 2016,2016,removed,MS
73295505-145d-42c8-bc85-e22277af8a86,LUDLOW FIRE DEPARTMENT,-89.712,32.569,2016 - 2018,2018,added,MS
73295505-145d-42c8-bc85-e22277af8a86,LUDLOW FIRE DEPARTMENT,-89.712,32.569,2018 - 2022,2022,no_change,MS
73301df4-e136-4cab-9c55-2d4175ec9b57,MERRIMAN'S STORE LOCATION,-88.596,34.142,2012 - 2014,2014,no_change,MS
73301df4-e136-4cab-9c55-2d4175ec9b57,MERRIMAN'S STORE LOCATION,-88.596,34.142,2014 - 2016,2016,no_change,MS
73301df4-e136-4cab-9c55-2d4175ec9b57,MERRIMAN'S STORE LOCATION,-88.596,34.142,2016 - 2018,2018,removed,MS
73301df4-e136-4cab-9c55-2d4175ec9b57,UNION VOL FIRE DEPARTMENT #2,-88.596,34.142,2018 - 2022,2022,added,MS
736fbd7e-8de2-4d0f-bf38-a211f69a91a5,HOLLANDALE CITY HALL,-90.853,33.168,2012 - 2014,2014,no_change,MS
736fbd7e-8de2-4d0f-bf38-a211f69a91a5,HOLLANDALE CITY HALL,-90.853,33.168,2014 - 2016,2016,no_change,MS
736fbd7e-8de2-4d0f-bf38-a211f69a91a5,HOLLANDALE CITY HALL,-90.853,33.168,2016 - 2018,2018,no_change,MS
736fbd7e-8de2-4d0f-bf38-a211f69a91a5,HOLLANDALE CITY HALL,-90.853,33.168,2018 - 2022,2022,no_change,MS
737a23dd-5ed9-4c04-a9ac-9dca00ad564a,ZION RIDGE,-89.127,33.175,2012 - 2014,2014,no_change,MS
737a23dd-5ed9-4c04-a9ac-9dca00ad564a,ZION RIDGE,-89.127,33.175,2014 - 2016,2016,no_change,MS
737a23dd-5ed9-4c04-a9ac-9dca00ad564a,ZION RIDGE,-89.127,33.175,2016 - 2018,2018,no_change,MS
737a23dd-5ed9-4c04-a9ac-9dca00ad564a,ZION RIDGE,-89.127,33.175,2018 - 2022,2022,no_change,MS
7407936e-0ee1-4ba0-9069-96fa0cc0b9a5,J.T. NEELY BUILDING,-88.686,34.245,2018 - 2022,2022,added,MS
740d702d-0793-48bc-ab34-fc51e0e0c1a5,RIDGELAND RECREATION CENTER,-90.082,32.425,2012 - 2014,2014,added,MS
740d702d-0793-48bc-ab34-fc51e0e0c1a5,RIDGELAND RECREATION CENTER,-90.082,32.425,2014 - 2016,2016,removed,MS
740d702d-0793-48bc-ab34-fc51e0e0c1a5,RIDGELAND RECREATION CENTER,-90.082,32.425,2016 - 2018,2018,added,MS
740d702d-0793-48bc-ab34-fc51e0e0c1a5,RIDGELAND RECREATION CENTER,-90.082,32.425,2018 - 2022,2022,removed,MS
740ee844-c96b-4ad2-8d6a-268616b273cc,PACE TOWN HALL,-90.86,33.793,2018 - 2022,2022,added,MS
7411ac41-786e-4646-bd1a-aec176b71a9a,WEST UNION BAPTIST CHURCH,-89.613,30.596,2018 - 2022,2022,added,MS
74259522-8532-42a9-a253-db3d1d9a09d9,TUXECHANA,-89.097,30.743,2012 - 2014,2014,no_change,MS
74259522-8532-42a9-a253-db3d1d9a09d9,TUXECHANA,-89.097,30.743,2014 - 2016,2016,removed,MS
74259522-8532-42a9-a253-db3d1d9a09d9,TUXECHANA,-89.097,30.743,2016 - 2018,2018,added,MS
74259522-8532-42a9-a253-db3d1d9a09d9,TUXECHANA,-89.097,30.743,2018 - 2022,2022,removed,MS
